epoch,best_cost,best_x,best_y
0,0.709443,0.233512,0.809268
1,0.709443,-1.473245,-0.969700
2,0.143268,0.114324,-0.360830
3,0.055739,-0.184202,0.147678
4,0.055739,-0.184202,0.147678
5,0.055739,-0.184202,0.147678
6,0.055739,-0.184202,0.147678
7,0.055739,-0.184202,0.147678
8,0.055739,-0.184202,0.147678
9,0.004702,0.017483,0.066306
10,0.004702,0.017483,0.066306
11,0.004702,0.017483,0.066306
12,0.004702,0.017483,0.066306
13,0.004702,0.017483,0.066306
14,0.004702,0.017483,0.066306
15,0.004702,0.017483,0.066306
16,0.004702,0.017483,0.066306
17,0.004702,0.017483,0.066306
18,0.004702,0.017483,0.066306
19,0.004702,0.017483,0.066306
20,0.004702,0.017483,0.066306
21,0.004702,0.017483,0.066306
22,0.004702,0.017483,0.066306
23,0.001341,-0.022825,0.028634
24,0.000449,0.020785,-0.004160
25,0.000198,0.013067,-0.005197
